                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2889,                 2.1506,                 2.5105,                0.46632,                0.59042,                0.40746,                0.18065,                 1.9985,                 2.5116,                 2.5111,              0.0014773,              0.0014773,              0.0014773
                     35,                 2.2428,                  2.074,                  2.449,                0.28299,                0.22973,                0.20775,                0.06943,                 2.5411,                 3.0086,                  2.679,              0.0014614,              0.0014614,              0.0014614
                     36,                 2.1629,                 1.9154,                 2.4058,                0.52566,                0.54054,                0.51417,                0.21641,                 2.0794,                 2.4774,                 2.4824,              0.0014456,              0.0014456,              0.0014456
                     37,                 2.2342,                 2.1242,                 2.4429,                0.57926,                0.47297,                0.51063,                0.19945,                 2.1185,                  2.425,                 2.4884,              0.0014298,              0.0014298,              0.0014298
                     38,                 2.1582,                 1.9031,                 2.5181,                0.48538,                0.59459,                0.46991,                 0.2055,                 2.0913,                 2.2323,                 2.4497,              0.0014139,              0.0014139,              0.0014139
                     39,                 2.2084,                 2.0435,                  2.571,                 0.2269,                0.35135,                0.22735,                0.10872,                 1.9469,                 2.5306,                 2.3622,              0.0013981,              0.0013981,              0.0013981
                     40,                 2.0791,                 1.7865,                 2.3089,                0.17875,                0.15887,                0.12797,                0.05499,                 1.9739,                 2.8893,                 2.3655,              0.0013822,              0.0013822,              0.0013822
                     41,                 2.1838,                 1.8568,                 2.4246,                0.07256,                 0.2027,                0.07028,                0.02893,                 2.0161,                 3.1276,                 2.3911,              0.0013664,              0.0013664,              0.0013664
                     42,                  2.176,                 1.7717,                 2.4831,                0.25455,                    0.5,                0.27208,                0.11037,                 2.0714,                 2.4939,                 2.3998,              0.0013506,              0.0013506,              0.0013506
                     43,                 2.1599,                 2.2412,                 2.4106,                0.49526,                0.67624,                0.56479,                  0.247,                 2.0452,                 2.0824,                 2.3792,              0.0013347,              0.0013347,              0.0013347
                     44,                 2.1891,                 1.8662,                 2.3541,                0.43502,                0.62433,                0.46815,                0.19758,                 2.1832,                 2.0882,                 2.4349,              0.0013189,              0.0013189,              0.0013189
                     45,                  2.116,                  2.092,                 2.4727,                 0.5921,                0.60811,                0.62098,                0.28865,                 1.9464,                 1.8476,                   2.26,               0.001303,               0.001303,               0.001303
                     46,                 2.0721,                 1.7787,                  2.295,                0.72296,                0.54054,                0.67048,                0.34023,                 1.9317,                  1.876,                  2.283,              0.0012872,              0.0012872,              0.0012872
                     47,                 1.9362,                 1.6081,                 2.2558,                0.75789,                0.64865,                0.76171,                0.40168,                 1.7598,                 2.0293,                 2.2031,              0.0012714,              0.0012714,              0.0012714
                     48,                  1.857,                 1.6086,                 2.2071,                0.70254,                0.73413,                0.76034,                 0.4078,                 1.7269,                 1.5912,                 2.1298,              0.0012555,              0.0012555,              0.0012555
                     49,                 2.0242,                 1.7568,                 2.1428,                0.60515,                0.77027,                0.63479,                0.31866,                 1.7423,                 1.6553,                 2.1469,              0.0012397,              0.0012397,              0.0012397
                     50,                 2.0229,                 1.6767,                 2.2706,                0.57887,                0.77027,                0.74498,                0.38327,                 1.7208,                 1.6684,                 2.1441,              0.0012238,              0.0012238,              0.0012238
                     51,                 1.7961,                 1.5259,                   2.14,                0.81714,                0.77027,                0.78487,                0.42049,                 1.7115,                 1.5775,                 2.1099,               0.001208,               0.001208,               0.001208
                     52,                 1.9635,                 1.4755,                 2.2247,                0.70923,                0.71622,                0.77606,                 0.4004,                 1.7498,                 1.6284,                 2.1398,              0.0011922,              0.0011922,              0.0011922
                     53,                 1.8375,                  1.591,                 2.1559,                0.71421,                0.74296,                0.78057,                0.42732,                 1.6496,                 1.5713,                 2.0611,              0.0011763,              0.0011763,              0.0011763
                     54,                 1.9165,                 1.4845,                 2.2354,                  0.696,                0.58789,                0.69806,                0.37992,                 1.6757,                 1.7603,                 2.1027,              0.0011605,              0.0011605,              0.0011605
                     55,                 1.9357,                 1.5819,                 2.2099,                0.66744,                0.78656,                0.74561,                0.35179,                 1.7864,                 1.6173,                 2.1597,              0.0011446,              0.0011446,              0.0011446
                     56,                 1.9418,                 1.4184,                 2.2406,                0.75934,                0.74324,                0.77586,                0.40126,                 1.8649,                 1.7041,                 2.2099,              0.0011288,              0.0011288,              0.0011288
                     57,                 1.8383,                 1.4559,                 2.1763,                0.80029,                0.77027,                0.78847,                0.41912,                 1.8604,                 1.6209,                 2.2018,               0.001113,               0.001113,               0.001113
                     58,                  1.859,                 1.5337,                 2.1468,                0.69387,                0.79637,                0.72984,                0.42415,                 1.5802,                 1.4306,                 2.0525,              0.0010971,              0.0010971,              0.0010971
                     59,                 1.7901,                 1.4109,                 2.2466,                0.67715,                 0.7027,                0.73455,                0.41655,                 1.5261,                 1.4706,                 2.0292,              0.0010813,              0.0010813,              0.0010813
                     60,                  1.701,                  1.464,                  2.099,                0.77368,                0.50822,                0.65239,                0.36404,                 1.5419,                  2.421,                 2.0218,              0.0010654,              0.0010654,              0.0010654
                     61,                 1.7423,                  1.466,                   2.16,                0.67179,                0.69153,                0.72391,                0.39585,                  1.597,                 1.5951,                 2.0419,              0.0010496,              0.0010496,              0.0010496
                     62,                 1.7662,                 1.4121,                 2.0805,                0.72143,                0.80497,                0.82339,                0.46353,                 1.6187,                 1.3804,                 2.0739,              0.0010338,              0.0010338,              0.0010338
                     63,                 1.7072,                 1.3764,                 2.0475,                0.81776,                0.84895,                0.88076,                0.48747,                 1.5566,                 1.2554,                 2.0026,              0.0010179,              0.0010179,              0.0010179
                     64,                  1.928,                 1.4091,                 2.2144,                0.74293,                0.83784,                0.86097,                 0.4779,                 1.5667,                 1.3068,                 1.9832,              0.0010021,              0.0010021,              0.0010021
                     65,                 1.7437,                 1.2588,                 1.9912,                 0.7076,                0.82432,                0.78141,                0.36606,                 1.8675,                 1.4075,                 2.2256,             0.00098624,             0.00098624,             0.00098624
                     66,                 1.7657,                 1.3025,                 2.0568,                0.81367,                0.74324,                0.84986,                0.42992,                 1.7141,                 1.3478,                 2.1458,              0.0009704,              0.0009704,              0.0009704
                     67,                 1.7695,                 1.4926,                 2.1093,                 0.8797,                0.85135,                0.91603,                0.54474,                 1.4176,                  1.204,                  1.918,             0.00095456,             0.00095456,             0.00095456
                     68,                 1.7605,                 1.3317,                 2.0298,                0.82796,                0.93243,                0.92331,                0.53364,                 1.5255,                 1.3183,                 1.9377,             0.00093872,             0.00093872,             0.00093872
                     69,                 1.7748,                 1.3178,                 1.9448,                0.84105,                0.92959,                  0.923,                0.53777,                 1.4673,                 1.2753,                 1.9297,             0.00092288,             0.00092288,             0.00092288
                     70,                  1.634,                 1.3023,                 1.8966,                0.85965,                0.82777,                0.89367,                0.51751,                 1.4695,                 1.3033,                 1.9152,             0.00090704,             0.00090704,             0.00090704
                     71,                 1.6535,                 1.3574,                 1.9787,                0.84075,                0.83784,                0.87297,                0.49581,                 1.4996,                 1.3166,                 1.9427,              0.0008912,              0.0008912,              0.0008912
                     72,                 1.5745,                 1.3213,                 1.8833,                0.77544,                0.83784,                0.86684,                 0.5158,                 1.4019,                 1.2541,                 1.8832,             0.00087536,             0.00087536,             0.00087536
                     73,                 1.6297,                 1.1741,                 1.9419,                0.74901,                0.81081,                 0.8669,                0.51655,                 1.4003,                  1.209,                 1.8557,             0.00085952,             0.00085952,             0.00085952
                     74,                 1.6616,                 1.2968,                 1.9148,                0.82797,                0.84558,                0.88738,                0.53968,                 1.3864,                 1.2336,                 1.8032,             0.00084368,             0.00084368,             0.00084368
                     75,                 1.6077,                 1.1684,                   1.89,                0.86683,                0.85135,                0.89468,                0.55026,                 1.3779,                 1.1731,                 1.8333,             0.00082784,             0.00082784,             0.00082784
                     76,                   1.55,                 1.2448,                  1.855,                0.81582,                0.83802,                0.88114,                0.53201,                  1.386,                 1.1222,                  1.838,               0.000812,               0.000812,               0.000812
                     77,                 1.6884,                 1.4475,                 1.9739,                 0.8329,                0.85135,                0.88481,                 0.5285,                 1.3634,                 1.1039,                 1.8127,             0.00079616,             0.00079616,             0.00079616
                     78,                  1.596,                  1.247,                 2.0008,                0.85797,                0.86486,                0.89982,                0.55834,                 1.3229,                 1.1373,                 1.7932,             0.00078032,             0.00078032,             0.00078032
                     79,                  1.537,                 1.2637,                 1.8943,                0.88824,                0.85922,                0.92597,                0.59888,                 1.3272,                 1.1006,                 1.7954,             0.00076448,             0.00076448,             0.00076448
                     80,                 1.5724,                 1.1201,                 1.8178,                0.87232,                0.82432,                0.91379,                0.58893,                 1.3277,                 1.0995,                 1.8135,             0.00074864,             0.00074864,             0.00074864
                     81,                 1.4517,                 1.2009,                 1.8558,                0.82902,                0.89189,                 0.9167,                0.58354,                 1.2971,                 1.1028,                 1.7764,              0.0007328,              0.0007328,              0.0007328
                     82,                   1.66,                 1.2756,                 1.8436,                0.88607,                0.82432,                0.92024,                0.60125,                 1.3056,                 1.0952,                 1.7607,             0.00071696,             0.00071696,             0.00071696
                     83,                  1.574,                 1.2355,                 1.9228,                0.85855,                0.90541,                0.92916,                0.58484,                   1.36,                 1.0166,                  1.785,             0.00070112,             0.00070112,             0.00070112
                     84,                 1.5509,                 1.1005,                 1.9127,                0.82793,                0.91034,                0.90585,                0.56972,                 1.3721,                 1.0726,                 1.7843,             0.00068528,             0.00068528,             0.00068528
                     85,                 1.5895,                 1.2322,                 1.8748,                 0.8258,                0.83282,                0.89244,                0.54366,                 1.3654,                 1.1233,                 1.7927,             0.00066944,             0.00066944,             0.00066944
                     86,                 1.7335,                 1.4124,                 2.0897,                0.82888,                0.90541,                0.91553,                0.54736,                 1.3383,                 1.0922,                 1.7892,              0.0006536,              0.0006536,              0.0006536
                     87,                 1.8509,                 1.4121,                 2.0724,                0.88645,                0.86486,                0.94014,                0.60852,                 1.2545,                 1.0191,                 1.7326,             0.00063776,             0.00063776,             0.00063776
                     88,                 1.5217,                 1.2514,                 1.8712,                0.86382,                0.78378,                 0.8992,                0.58231,                 1.3506,                 1.1367,                  1.783,             0.00062192,             0.00062192,             0.00062192
                     89,                 1.3827,                 1.0347,                 1.7409,                0.84263,                0.79597,                0.87411,                0.55556,                 1.3905,                 1.1967,                 1.8009,             0.00060608,             0.00060608,             0.00060608
                     90,                 1.5405,                 1.1938,                 1.8811,                0.90116,                0.81081,                 0.9006,                0.58725,                 1.3219,                 1.0738,                 1.7453,             0.00059024,             0.00059024,             0.00059024
                     91,                 1.4218,                 1.0593,                 1.7227,                  0.928,                0.82432,                0.94729,                0.60604,                 1.2832,                0.97622,                 1.7213,              0.0005744,              0.0005744,              0.0005744
                     92,                 1.5134,                 1.0856,                 1.8958,                0.90368,                0.88749,                 0.9383,                0.62291,                 1.2504,                 1.0073,                 1.7079,             0.00055856,             0.00055856,             0.00055856
                     93,                 1.5516,                 1.1926,                 1.8241,                0.86852,                0.89264,                0.93623,                0.63679,                 1.2026,                0.98456,                 1.6804,             0.00054272,             0.00054272,             0.00054272
                     94,                 1.4846,                 1.1227,                 1.8623,                0.88772,                0.90541,                0.94444,                0.61947,                 1.2213,                0.99336,                 1.6885,             0.00052688,             0.00052688,             0.00052688
                     95,                 1.3898,                 1.0663,                 1.6996,                0.85955,                0.90541,                0.93915,                0.60439,                  1.282,                 0.9895,                 1.7276,             0.00051104,             0.00051104,             0.00051104
                     96,                  1.367,                 1.1108,                 1.7211,                0.89707,                0.87838,                0.92636,                0.62157,                 1.1956,                0.96401,                   1.67,              0.0004952,              0.0004952,              0.0004952
                     97,                 1.4056,                 1.0413,                 1.7618,                0.91294,                0.89189,                0.94068,                0.63497,                 1.1592,                0.99907,                 1.6339,             0.00047936,             0.00047936,             0.00047936
                     98,                  1.421,                 1.0278,                  1.746,                0.85655,                0.93243,                0.92683,                  0.625,                 1.1769,                  1.092,                 1.6366,             0.00046352,             0.00046352,             0.00046352
                     99,                  1.379,                 1.0431,                 1.7424,                0.87725,                0.91892,                0.92283,                0.61663,                 1.1813,                 1.0406,                 1.6278,             0.00044768,             0.00044768,             0.00044768
                    100,                 1.3864,                 1.0814,                 1.7276,                0.89226,                0.89189,                0.93818,                 0.6286,                 1.1751,                0.96321,                 1.6332,             0.00043184,             0.00043184,             0.00043184
                    101,                 1.3929,                0.99584,                 1.7711,                0.89125,                0.88603,                0.93453,                0.62744,                 1.2053,                0.95606,                 1.6592,               0.000416,               0.000416,               0.000416
                    102,                 1.6685,                  1.405,                 1.8824,                0.84564,                0.89189,                0.93664,                0.62753,                 1.2052,                 1.0269,                 1.6626,             0.00040016,             0.00040016,             0.00040016
                    103,                 1.4212,                 1.0533,                 1.8186,                0.89035,                0.89189,                   0.94,                0.62375,                 1.1845,                 1.0185,                 1.6449,             0.00038432,             0.00038432,             0.00038432
                    104,                 1.3659,                0.99493,                 1.6791,                 0.8731,                0.93243,                0.95482,                0.65198,                 1.1257,                0.96002,                 1.6036,             0.00036848,             0.00036848,             0.00036848
                    105,                 1.3365,                 0.9677,                 1.6851,                 0.9192,                0.86486,                0.95493,                0.64033,                 1.1804,                0.94806,                 1.6262,             0.00035264,             0.00035264,             0.00035264
                    106,                 1.3141,                 1.0316,                 1.6241,                0.92872,                0.83784,                0.94924,                0.61069,                 1.2747,                0.89385,                 1.7038,              0.0003368,              0.0003368,              0.0003368
                    107,                 1.4777,                 1.1551,                 1.7689,                0.91707,                0.89189,                0.94736,                0.63974,                 1.1601,                0.84963,                  1.602,             0.00032096,             0.00032096,             0.00032096
                    108,                 1.3615,                 1.0631,                 1.6955,                0.88768,                0.90541,                0.95897,                0.65193,                 1.1188,                0.89966,                 1.5674,             0.00030512,             0.00030512,             0.00030512
                    109,                 1.3407,                 1.0019,                 1.6853,                0.85048,                0.92245,                 0.9488,                0.64247,                 1.1256,                0.95124,                 1.5719,             0.00028928,             0.00028928,             0.00028928
                    110,                 1.3755,                 1.0757,                   1.74,                0.82861,                0.95946,                0.94317,                 0.6463,                 1.1511,                0.95833,                 1.5829,             0.00027344,             0.00027344,             0.00027344
