                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2462,                  0.831,                 1.4676,                0.82547,                0.88034,                 0.8821,                0.55653,                 1.2705,                0.80875,                 1.5378,              0.0017008,              0.0017008,              0.0017008
                     36,                 1.2292,                0.80051,                 1.4388,                0.87144,                0.92697,                0.91441,                0.61416,                 1.1674,                0.72072,                 1.4685,               0.001692,               0.001692,               0.001692
                     37,                 1.1776,                0.77405,                 1.3964,                0.85047,                 0.9245,                0.90563,                 0.6086,                 1.1307,                0.77549,                  1.455,              0.0016832,              0.0016832,              0.0016832
                     38,                  1.224,                0.77561,                 1.4319,                0.87094,                0.91595,                0.93245,                0.62733,                 1.1198,                0.78038,                 1.4383,              0.0016744,              0.0016744,              0.0016744
                     39,                  1.188,                0.80424,                 1.4176,                0.89474,                0.90811,                0.94063,                 0.6439,                 1.0952,                0.75159,                   1.42,              0.0016656,              0.0016656,              0.0016656
                     40,                 1.2002,                0.79623,                 1.4047,                0.86662,                0.86895,                0.89579,                0.57751,                 1.2521,                0.75453,                 1.5172,              0.0016568,              0.0016568,              0.0016568
                     41,                 1.1908,                0.75882,                 1.4081,                0.85636,                0.91595,                0.92724,                0.62935,                 1.1154,                 0.7424,                 1.4373,               0.001648,               0.001648,               0.001648
                     42,                 1.1599,                0.75822,                 1.3989,                0.87905,                0.91738,                0.93184,                0.62316,                 1.1778,                0.70444,                 1.4873,              0.0016392,              0.0016392,              0.0016392
                     43,                 1.1846,                0.77322,                 1.4043,                0.86416,                0.92877,                0.92242,                0.63606,                 1.1168,                0.69697,                 1.4228,              0.0016304,              0.0016304,              0.0016304
                     44,                 1.1914,                0.77198,                 1.3955,                0.87947,                0.90598,                0.92808,                0.63315,                 1.1197,                0.67903,                 1.4519,              0.0016216,              0.0016216,              0.0016216
                     45,                 1.1931,                0.75036,                 1.3713,                 0.8824,                0.91311,                0.94857,                0.65392,                 1.0825,                0.67444,                 1.3985,              0.0016128,              0.0016128,              0.0016128
                     46,                 1.1678,                0.74735,                 1.3738,                0.85893,                0.93162,                0.92765,                0.64647,                 1.0685,                0.68552,                 1.3743,               0.001604,               0.001604,               0.001604
                     47,                 1.1649,                0.73811,                 1.3821,                0.86142,                0.91206,                0.92927,                0.62003,                 1.1628,                0.67724,                 1.5128,              0.0015952,              0.0015952,              0.0015952
                     48,                 1.1961,                0.74205,                 1.4022,                0.89435,                0.92308,                  0.945,                 0.6599,                 1.0654,                 0.6333,                 1.3831,              0.0015864,              0.0015864,              0.0015864
                     49,                 1.1665,                0.74765,                  1.377,                 0.8513,                0.93305,                0.93117,                0.63358,                  1.153,                0.67945,                 1.4208,              0.0015776,              0.0015776,              0.0015776
                     50,                 1.1799,                 0.7764,                 1.3901,                  0.878,                0.94017,                0.95314,                 0.6367,                 1.1407,                0.65814,                 1.4319,              0.0015688,              0.0015688,              0.0015688
                     51,                 1.1355,                0.72001,                 1.3782,                0.88134,                0.92052,                0.94696,                0.67337,                 1.0583,                0.62787,                 1.3692,                0.00156,                0.00156,                0.00156
                     52,                 1.1274,                0.71068,                 1.3421,                0.87127,                0.93519,                0.94984,                0.66264,                 1.1101,                0.64557,                 1.4094,              0.0015512,              0.0015512,              0.0015512
                     53,                 1.1459,                0.71902,                 1.3503,                  0.858,                 0.9296,                0.94023,                0.66277,                 1.0662,                 0.7036,                 1.3699,              0.0015424,              0.0015424,              0.0015424
                     54,                 1.1203,                0.72761,                 1.3504,                0.89075,                0.92735,                0.94805,                0.65707,                 1.0919,                0.64909,                 1.3922,              0.0015336,              0.0015336,              0.0015336
                     55,                 1.1823,                0.74863,                 1.3739,                0.87145,                0.91743,                0.95019,                0.65561,                 1.1004,                0.70404,                 1.4014,              0.0015248,              0.0015248,              0.0015248
                     56,                 1.1291,                0.70137,                 1.3537,                0.88155,                0.89601,                0.94334,                0.64031,                 1.1235,                0.72981,                 1.4085,               0.001516,               0.001516,               0.001516
                     57,                 1.1058,                0.70877,                 1.3421,                0.88721,                0.89644,                0.93519,                0.65344,                 1.0569,                0.75042,                 1.3495,              0.0015072,              0.0015072,              0.0015072
